Name,Percentage,Games Won,Total Games,Matches
John Isner,94.27,674,715,44
Roger Federer,93.11,527,566,42
Milos Raonic,90.38,451,499,38
Nick Kyrgios,89.98,422,469,32
Kevin Anderson,88.98,686,771,50
Sam Querrey,87.50,420,480,34
Juan Martin del Potro,87.48,622,711,54
Marin Cilic,87.25,602,690,48
Rafael Nadal,86.44,529,612,47
Steve Johnson,86.33,480,556,45
Novak Djokovic,86.01,584,679,50
Karen Khachanov,85.84,564,657,49
Dominic Thiem,85.63,614,717,55
Stefanos Tsitsipas,85.04,580,682,52
Ryan Harrison,83.59,433,518,40
Nicolas Jarry,83.48,465,557,39
Kyle Edmund,83.28,488,586,44
Leonardo Mayer,83.15,459,552,43
Lucas Pouille,82.85,425,513,38
Alexander Zverev,82.83,598,722,55
Jeremy Chardy,82.77,413,499,39
Denis Shapovalov,82.59,517,626,46
Borna Coric,82.37,397,482,41
Pierre-Hugues Herbert,82.29,395,480,35
Philipp Kohlschreiber,81.93,417,509,40
Frances Tiafoe,81.65,445,545,42
Grigor Dimitrov,81.55,442,542,38
Roberto Bautista Agut,80.80,383,474,38
Maximilian Marterer,80.79,366,453,36
Feliciano Lopez,80.52,343,426,36
Andreas Seppi,80.12,391,488,35
Kei Nishikori,79.86,444,556,42
Peter Gojowczyk,79.37,354,446,39
Gael Monfils,79.26,409,516,38
Marco Cecchinato,79.13,383,484,36
Guido Pella,79.10,424,536,41
Jared Donaldson,79.05,332,420,33
Daniil Medvedev,78.99,440,557,45
Dusan Lajovic,78.96,394,499,38
Jan-Lennard Struff,78.94,386,489,37
Pablo Carreno Busta,78.59,492,626,50
David Goffin,78.02,394,505,41
Alex de Minaur,77.78,315,405,32
Joao Sousa,77.74,454,584,42
Richard Gasquet,77.73,370,476,43
Robin Haase,77.64,500,644,47
Hyeon Chung,77.63,361,465,40
Fabio Fognini,77.59,502,647,50
Fernando Verdasco,77.18,460,596,47
Mischa Zverev,76.94,387,503,43
John Millman,76.75,340,443,34
Guillermo Garcia-Lopez,76.46,354,463,36
Gilles Simon,76.44,386,505,41
Aljaz Bedene,75.59,322,426,33
Malek Jaziri,75.56,303,401,33
Albert Ramos-Vinolas,75.32,348,462,38
Marton Fucsovics,75.28,335,445,36
Adrian Mannarino,75.00,411,548,42
Diego Schwartzman,73.91,425,575,47
Benoit Paire,73.73,435,590,45
Nikoloz Basilashvili,72.62,374,515,41
Damir Dzumhur,70.20,358,510,42
